index,course_title,url,certification,level,organization,platform
114,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,https://www.udemy.com/branch-accounts-a-complete-analysis/,COURSE,All Levels,Business Finance,udemy
115,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,https://www.udemy.com/61-profit-in-1-month-shattering-your-trading-paradigm/,COURSE,All Levels,Business Finance,udemy
116,How to create a routine Trading,https://www.udemy.com/how-to-create-a-trading-routine/,COURSE,All Levels,Business Finance,udemy
117,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",https://www.udemy.com/forex-trading-robot-forex-trading/,COURSE,All Levels,Business Finance,udemy
118,Forex SOS Course: Trading Tweaks And Working Forex Strategy,https://www.udemy.com/forex-sos-course/,COURSE,Beginner Level,Business Finance,udemy
119,Introduction to Financial Modeling,https://www.udemy.com/financial-modeling-asimplemodel/,FREE,Intermediate Level,Business Finance,udemy
120,Quantitative Aptitude for Banking & Competitive Examinations,https://www.udemy.com/quantitative-aptitude-for-competitive-examinations-part-i/,COURSE,All Levels,Business Finance,udemy
121,Option Spreads and Credit Spreads Bundle,https://www.udemy.com/option-spreads-and-credit-spreads-bundle/,COURSE,Expert Level,Business Finance,udemy
122,B Com Accountancy I (Paper ECO 02 IGNOU),https://www.udemy.com/accounts-from-incomplete-records/,COURSE,All Levels,Business Finance,udemy
123,FOREX TRADING - Learn in a quick + profitable way + support,https://www.udemy.com/forex-the-only-simple-trading-your-ever-need-bank-trading/,COURSE,All Levels,Business Finance,udemy
124,Auditing Basics (Professional Course Level),https://www.udemy.com/basics-of-auditing/,COURSE,All Levels,Business Finance,udemy
125,Stock market Investing Encyclopedia: How to invest in stocks,https://www.udemy.com/stockmarket/,COURSE,Intermediate Level,Business Finance,udemy
126,Learn the basics of preparing accounting statements,https://www.udemy.com/basics-of-financial-accounting/,COURSE,Intermediate Level,Business Finance,udemy
127,Elliott Wave -Forex Trading With The Elliott Wave Theory,https://www.udemy.com/forex-trading-with-the-elliot-wave-theory/,COURSE,Expert Level,Business Finance,udemy
128,Corporate Finance - A Brief Introduction,https://www.udemy.com/finance-a-brief-introduction-and-basics-finance-101/,FREE,Beginner Level,Business Finance,udemy
129,Excel functions to analyze and visualize data,https://www.udemy.com/basic-excel-functions-to-analyze-large-data/,COURSE,Intermediate Level,Business Finance,udemy
130,Building Financial Statements in Excel,https://www.udemy.com/guide-to-building-financial-statements/,COURSE,Beginner Level,Business Finance,udemy
131,Transfer Pricing A Complete Analysis,https://www.udemy.com/transfer-pricing-a-complete-analysis/,COURSE,All Levels,Business Finance,udemy
132,Accounting: Get Hired Without Work Experience,https://www.udemy.com/accounting-get-hired-without-work-experience/,COURSE,All Levels,Business Finance,udemy
133,Forex Trading for Beginners - Basics,https://www.udemy.com/complete-forex-trading-for-beginners-in-1-course-basics/,COURSE,All Levels,Business Finance,udemy
134,Basic Bookkeeping Hacks,https://www.udemy.com/basic-bookkeeping/,COURSE,All Levels,Business Finance,udemy
135,Complete Trading Plan Course for Stocks & Forex (10 Hours),https://www.udemy.com/killer-trading-plan-6-year-old-can-invest-10-hours-stocks-forex-etf/,COURSE,All Levels,Business Finance,udemy
136,"Forex Trading with Fixed 'Risk through Options Trading""",https://www.udemy.com/forexoptions/,COURSE,Beginner Level,Business Finance,udemy
137,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",https://www.udemy.com/investment-banking-mergers-ipo-financial-model-business-mba-pro-forma/,COURSE,All Levels,Business Finance,udemy
138,How to Pick The Right Penny Stocks To Invest In 2017,https://www.udemy.com/how-to-make-5000month-trading-penny-stocks/,COURSE,All Levels,Business Finance,udemy
139,Top 10 Trading Ideas in the Equities Market,https://www.udemy.com/top-10-trading-ideas-in-the-equities-market/,COURSE,All Levels,Business Finance,udemy
140,Intro to Financial Modeling,https://www.udemy.com/intro-to-financial-modeling/,COURSE,Beginner Level,Business Finance,udemy
141,Shark Accounting - Building a Business by the Numbers!,https://www.udemy.com/shark-accounting/,COURSE,Beginner Level,Business Finance,udemy
142,Forex Trading MAKE YOUR FIRST TRADE TODAY!,https://www.udemy.com/trade-forex/,COURSE,All Levels,Business Finance,udemy
143,Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,FREE,Beginner Level,Business Finance,udemy
144,SAP FICO For Beginners - A Guide to SAP Financial Accounts,https://www.udemy.com/sap-fico-for-sap-beginners/,COURSE,Beginner Level,Business Finance,udemy
145,Learn how to double your Forex Trading Account in one trade,https://www.udemy.com/learn-how-to-double-your-forex-trading-account-in-one-trade/,COURSE,Intermediate Level,Business Finance,udemy
146,"Accounting Superpowers: Learn Accounts, Understand Business!",https://www.udemy.com/accounting-basics-for-success-in-business-and-in-life/,COURSE,Beginner Level,Business Finance,udemy
147,Python Algo Trading: FX Trading with Oanda,https://www.udemy.com/python-algo-trading-fx-trading-with-oanda/,COURSE,Intermediate Level,Business Finance,udemy
148,Save on Your Taxes,https://www.udemy.com/save-on-your-taxes/,COURSE,All Levels,Business Finance,udemy
149,Financial Model Basics: Build a model from start to finish,https://www.udemy.com/financial-model-basics-build-a-model-from-start-to-finish/,COURSE,Beginner Level,Business Finance,udemy
150,Option Trading for Rookies: The Covered Call Option Strategy,https://www.udemy.com/option-trading-for-rookies-investing-the-profitable-way/,COURSE,Beginner Level,Business Finance,udemy
151,EFT for Stock Options Trading Success & Making Better Trades,https://www.udemy.com/eft-for-stock-option-trading-success/,COURSE,All Levels,Business Finance,udemy
152,Learn to Trade the Stock Market without Blowing Your Profits,https://www.udemy.com/learn-to-trade-the-stock-market-without-blowing-your-profits/,COURSE,All Levels,Business Finance,udemy
153,Get a Credit Repair Publication On Amazon and Live LIFE..,https://www.udemy.com/get-a-credit-repair-publication-on-amazon-and-live-life/,COURSE,Beginner Level,Business Finance,udemy
154,Fundamentals of Accounting,https://www.udemy.com/fundamentals-of-accounting/,COURSE,All Levels,Business Finance,udemy
155,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",https://www.udemy.com/charting-rsi-options-stock-trading-for-beginners-newtechnical-analysis/,COURSE,All Levels,Business Finance,udemy
156,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,https://www.udemy.com/basics-of-mutual-funds-for-ca-cma-cs-cfa-exams/,COURSE,Intermediate Level,Business Finance,udemy
157,Accounting 101: How to read an Accounting Balance Sheet,https://www.udemy.com/financial-statements-101-how-to-read-a-balance-sheet/,COURSE,Beginner Level,Business Finance,udemy
158,Stock Options Day Trading Mindset for Success,https://www.udemy.com/stock-options-day-trading-success-mindset/,COURSE,All Levels,Business Finance,udemy
159,Introduction to bookkeeping and Accounting,https://www.udemy.com/introduction-to-bookkeeping-and-accounting/,COURSE,Beginner Level,Business Finance,udemy
160,Learn to Trade The News,https://www.udemy.com/learn-to-trade-the-news/,COURSE,All Levels,Business Finance,udemy
161,"Value Investing, Taught by Six Superinvestors",https://www.udemy.com/investing-stars/,COURSE,All Levels,Business Finance,udemy
162,Trading for everyone - The Independent Investor Course I,https://www.udemy.com/trading-for-everyone-the-independent-investor-course/,COURSE,Beginner Level,Business Finance,udemy
163,Get Acquired: Learn From The Head Of Acquisitions For eBay,https://www.udemy.com/entrepreneurship-buy-and-sell-your-startup-or-business/,COURSE,All Levels,Business Finance,udemy
164,Stock Market investment: Practical Accounting,https://www.udemy.com/stock-market-investment-practical-accounting/,COURSE,Beginner Level,Business Finance,udemy
165,"How to remove 'Risk from Penny Stocks - Options Trading""",https://www.udemy.com/best-penny-stock-options-to-buy-hot-stocks-put-call-stock-options/,COURSE,All Levels,Business Finance,udemy
166,Accounting Basics in 66 Minutes (absolutely for beginners),https://www.udemy.com/accounting-through-visual-presentation/,COURSE,All Levels,Business Finance,udemy
167,"Tax Accounting: Difficult Topic, Made Easy to Understand",https://www.udemy.com/taxaccounting/,COURSE,All Levels,Business Finance,udemy
168,Analysis of Company Financial Statements,https://www.udemy.com/analysis-of-company-financial-statements/,COURSE,All Levels,Business Finance,udemy
169,Forex Trading Like Banks – Step by Step with Live Examples,https://www.udemy.com/forex-trading-like-banks-step-by-step-with-live-examples/,COURSE,All Levels,Business Finance,udemy
170,Fundamentals of Investing!,https://www.udemy.com/investment-basics-lets-invest-series/,COURSE,Beginner Level,Business Finance,udemy
171,Bank Financial Management A Comprehensive Study,https://www.udemy.com/bank-financial-management-a-comprehensive-study/,COURSE,All Levels,Business Finance,udemy
172,Learn to Trade Forex and Stocks: From Beginner to Advanced,https://www.udemy.com/tradeforex/,COURSE,All Levels,Business Finance,udemy
173,"Master 'Technical Analysis and Chart reading skills Bundle""",https://www.udemy.com/master-technical-analysis-and-chart-reading-skills-bundle/,COURSE,All Levels,Business Finance,udemy
174,Naked Put Options Trade Covered Call & Poor Man Covered Call,https://www.udemy.com/naked-put-options-trade-covered-call-poor-man-covered-call/,COURSE,All Levels,Business Finance,udemy
175,The Ultimate Guide to Dividend & Dividend Growth Investing,https://www.udemy.com/investing-learn-how-to-build-a-dividend-portfolio-step-by-step/,COURSE,All Levels,Business Finance,udemy
176,Charting for Beginners 101: Technical Analysis Demystified,https://www.udemy.com/charting-for-beginners-101/,COURSE,All Levels,Business Finance,udemy
177,Build a DCF Valuation Model,https://www.udemy.com/build-a-dcf-valuation-model/,COURSE,All Levels,Business Finance,udemy
178,Introductory Financial Accounting,https://www.udemy.com/introductory-financial-accounting/,COURSE,Beginner Level,Business Finance,udemy
179,Introduction to Cryptocurrencies and Blockchain,https://www.udemy.com/introduction-to-cryptocurrencies/,FREE,Beginner Level,Business Finance,udemy
180,Trade Pullback Candlestick Strategy - Make Consistent Pips,https://www.udemy.com/make-consistent-profit-using-pullback-candlestick-strategy/,COURSE,All Levels,Business Finance,udemy
181,Accounting Standards Basics (Professional Course Level),https://www.udemy.com/basics-of-accounting-standards/,COURSE,All Levels,Business Finance,udemy
182,Use the Magic Multiple Moving Average Forex Trading system,https://www.udemy.com/the-magic-multiple-moving-average-forex-trading-system/,COURSE,Intermediate Level,Business Finance,udemy
183,QuickBooks 2015 Training for Newbies,https://www.udemy.com/free-training-quickbooks-2015/,COURSE,Beginner Level,Business Finance,udemy
184,TRADING PSYCHOLOGY: Trading Mindset Mastery,https://www.udemy.com/trading-psychology-trading-mindset-mastery/,COURSE,Intermediate Level,Business Finance,udemy
185,Option Trading: How to Adjust Delta-Neutral Strangles!,https://www.udemy.com/option-trading-selling-strangles/,COURSE,All Levels,Business Finance,udemy
186,Profitable binary option trading strategy,https://www.udemy.com/binaryoptions/,COURSE,All Levels,Business Finance,udemy
187,Tax Strategy: Financial Planning for Beginners,https://www.udemy.com/taxsavingstrategy/,COURSE,All Levels,Business Finance,udemy
188,Accounting 2 Simplified for You,https://www.udemy.com/accounting-2-simplified-for-you/,COURSE,Beginner Level,Business Finance,udemy
189,Project Funding Modelling (for Professionals),https://www.udemy.com/project-funding-modelling/,COURSE,All Levels,Business Finance,udemy
190,Investing: How I Consistently Beat The Stock Market,https://www.udemy.com/beat-the-stock-market/,COURSE,All Levels,Business Finance,udemy
191,Bookkeeping Basics:  Understand the Fundamentals,https://www.udemy.com/bookkeeping-basics/,COURSE,Beginner Level,Business Finance,udemy
